Comment,IsGreet
和男票一起去的吃的只是一个安静的环境菜品味道一般般价格不高性价比还算高,1
的我在一期消费的点到你们这边的买单了还不给我退款说我消费了我消费的腿的,0
每次点去皮的牛蛙偏偏给我上有皮的牛蛙牛扒也是黑乎乎的土豆全部烤焦了越来越差越来越难吃对于老顾客真的是很失望,0
牛排七分熟朋友有点吃不惯,1
不错,1
一边正在装修有些气味味道还可以吧,1
服务不周到我已经提醒好几次了上菜还是过了分钟,0
手上有个汉购通的购物卡汉购通的宣传资料上说可以去秀玉消费到了后发现合作取消了只能付现金,1
服务员王小凤热情周到好评,1
还行吧只是觉得服务不太及时环境不错食品精美却没留下深刻的印象,1
味道还不错每次回武汉只要时间允许总会去吃一回本人不喜欢吃披萨鸡中节咖喱鸡肉卷饼三文鱼排牛蛙煲鳕鱼条,1
环境还是不错的哦菜品口感也不错的哦比较满意的还是适合情侣约会吧那环境好哈哈哈哈性价比也还是不错的哦可以去试试,1
都跟正常环境清雅适合情侣朋友约会,1
秀玉老牌店了价格实惠性价比高,1
鸡中节满分好评骨牛排很有嚼劲,1
服务态度差我们是来吃饭的不是来看服务员脸色的这么不耐烦别做服务行业啊职业素养都没有,0
差的很再也不来了标榜着延时免单呵呵就一句对不起,0
棒棒哒,1
味道好环境也不错,1
感觉还不错位置也比较好找上菜也不需要等很久环境还算只是忘记拍照了下次有机会多拍照,1
牛排都没问我们要几分熟就上上来了,1
味道棒棒哒,1
很好吃环境好,1
一般般都不好吃不伦不类服务也不好,0
牛排烤老了份量没以前多了,1
收银态度不行面无表情态度差,1
就是优惠太少了,1
很喜欢这里的环境真的很不错的,1
一如既往的好希望秀玉能一直坚持下去以后还会去,1
一楼服务台态度一般其他都超棒,1
餐品上上来一点食欲都没有服务员还比较能赊很皮,0
挺好吃的团购很便宜服务一般,1
味道还是可以的团购还是很划算的,1
还行吧环境和服务都很好就是感觉味道蛮一般的感觉好像都是现成儿的加热一下就端上来了的其他的还可以,1
经济实惠个人吃了一桌子问道也可以,1
菜都上了餐具没到菜吃完了饭还没来等了一个多小时催了好几次了最后告诉我单子搞漏了加急做了个煲仔饭搞成了锅巴饭还糊了一大片,0
牛肋排做的全熟烤焦了全国应该就此一家服务员一本正经的说只能做全熟,0
上菜快跟汉口这边的菜单不一样没有吃到我想吃的,1
味道不错分量也够三个人吃撑了,1
服务不行口味可以等位不用等环境可以,1
环境现在不咋的虫子飞来飞去的,0
还可以味道不错还需改进,1
除了上餐的服务较好整体服务员有待培训提高素养吃了这么多年秀玉唯一一次不好的体验,0
非常适合约会的地方环境很好也很好吃和我好朋友还有她男朋友一起来的这个地方很给面子分量好多我还点了份牛排我们三个人都没有吃完下次还会来的给秀玉点赞,1
吃饭聊天的好去处多次来这家,1
吧台男吧员买单的态度太差,0
味道还不错啊分量也还可意,1
一般不好不坏不知道吃什么可以去,0
很便宜很实惠一份牛排可以吃饱,1
汤是真难喝,1
味道真的垃圾可以说没有味道,0
都是肥肉,0
东西越做越差劲煲仔饭根本不是现做的,1
很多次了味道还是那个味道,1
菜品还不错服务比较热情整体感觉不错,1
很好很好很好非常好推荐这家去吧,1
很好很好很好非常好推荐这家去吧,1
套餐还行可能是太久没来秀玉感觉没以前好了鸡肉卷饼是真的不好吃啊,1
服务比较差,0
一直都是秀玉的忠实粉丝味道一级棒服务也是一级棒希望秀玉越来越好,1
味道挺好的分量也足几个同学以前还在里面工作过食材安全卫生,1
嗯好的,1
从点餐到买单我想问贵店的服务员小姐姐们我欠你们钱了吗我是去吃饭不是去看你们脸色的吧,0
氛围还不错食物味道一般,1
没有打包袋只有打包盒呵呵,0
一如一如既往啊既往啊爱吃,1
披萨不咋地不好吃,0
跟我最爱的人一起的怀恋,1
不错经常来吃,1
无服务员上餐员态度不好菜品不咋样,0
总体很满意就是吃不太习惯其他都好吃环境也不错逛街累了歇脚吃饭的好地方,1
还不错买的套餐觉得很划算可以去尝试,1
还是可以的希望能再多推出几款相应的套餐,1
上菜很快服务好但是有的不是很好吃,1
很不错啊,1
不错,1
很好吃年和女朋友去吃的那个时候还是学生没有什么钱感觉很值现在已经分手了这年多我再也没有找过对象孤独必定使人强大今天无意中看到这个单又让我想起当年那段快乐的时光感谢秀玉,1
玉米汁很好,1
很好,1
还可以孩子比较喜欢每次要吃他们家牛排,1
服务好环境舒适适合带家人和朋友最喜欢柠檬茶,1
服务稀烂,0
还可以吧服务态度挺好的,1
还不错后面带老妈和弟弟去的那叫不能美团披萨不咋滴其他还行,1
東西不錯價格實惠環境優美經常喜歡去適合家人朋友去環境舒適,1
还可以,1
吃的挺好团购很划算,1
很好,1
还是不错的喜欢吃他们家的煲仔饭每次去都必点很好吃专门去吃西餐的地方吃中餐哈哈,1
食物还是不错服务态度没有以前的好,1
环境一般味道还可以服务态度一般,1
金桔柠檬茶不错,1
非常差感受特别糟糕根本服务点单喊了半天想着周末吃完就赶紧回去就在一个穿白色衬衫的女生的帮助下用美团买了单还没有到门口就有一小伙问有没有买单告知了已买过但是到了一楼又有人问有没有买单瞬间就无语了这沟通这服务怪不得有一天听到你们的员工在讨论现在的秀玉和以前没法比了此刻同感,0
气氛适合聊天服务一流上菜有素付款便捷二楼开放了环境也是相当不错下次有机会还来这里,1
吃了一万次了比较适合休息聊天哈哈哈哈哈,1
不错,1
挺好吃的下次还去服务员很好,1
菜品真的很差发现秀玉现在除了煲仔饭还能下口以外其余的不是一个难吃能形容的我能说我一颗星都不想给的么,0
饮品不咋样吃的还可以喝的是真的不推荐了,1
很好,1
超级难吃这是最后一次去秀玉的形象瞬间崩塌,0
不满意,0
特别划算也很好吃,1
简直完美很不错的吃饭体验服务一级棒,1
钟爱秀玉,1
人叫一个多东西一般化坐坐休息一下还可以,1
美团点的二人套餐分量足味道也特别好就是中午人多猪扒味道不错煲仔饭做的超级好啊意面倒是一般般女生吃是完全没问题的等的时间比较久秀玉的环境不错没那么吵闹带宝宝来果然是正确的啊睡得熟呵呵呵,1
吃过很多次了相对还是比较满意的,1
比以前差多了鸡蛋蛋清都没熟纸巾也没有不会再来了,0
本来是回头客但是这次的服务不怎么样,1
秀玉这两年可以倒闭的感觉前面的服务也越来越差厨房的出品也不行,0
还可以就是水果沙拉不新鲜有待改进上菜稍慢,1
羊排很不错水果披沙好一般服务态度还行服务质量不高,1
味道很赞棒棒哒,1
挺好的比较满意下次还会再来的,1
发现全都涨价啦空调就跟没开一样热死,1
喜欢布丁,1
很不错分量十足还会再去的划算,1
牛排真的超大份一本满足,1
非常好的一次用餐菜品不错分量足值得再去,1
我不是个喜欢吃西餐的每次都是想吃吃到嘴边就想说再见秀玉却很赞吃完了主食一定还有第二次猪扒咖喱牛肉卷金菊柠檬茶,1
很喜欢秀玉去了好几次了菜品好味道赞还会再去的,1
一如既往的好每次必去的地方喜欢它的风格和环境,1
人不多上菜快,1
秀玉不错挺好的,1
我的心一直悬着一样可以理解的士费,1
秀玉是我经常去的餐厅服务好味道好,1
味道不怎么样服务态度不好以后再也不去了,0
味道一般态度不好不会再来了,0
第一次吃西餐一个人吃着个人的餐要求服务员上份餐具那天吃的很难过但菜口感还不错服务员态度很好好评可惜也许再也不会来这家餐厅了,1
环境非常好口味也不错,1
不知道说什么有些不愉快但是也解决了,1
秀玉吃了好多次了还是很不错的,1
经常去吃,1
挺好的两人餐吃得很饱喝的甜品也都有味道也不错挺满意的,1
一如既往地好吃性价比也很高套餐内容丰富两个人吃到撑,1
灰常好吃服务很周到热情不错的体验,1
还可以,1
就是秀玉的味道希望多推出新品新品的宣传折页不要做的像黑暗料理,1
吃了很多次了还蛮好的环境也不错味道也蛮好值得去,1
菜品不错服务周到价格实惠值得拥有,1
咖啡淡得出奇芝士蛋糕好评其他一般,1
非常棒要是吃披萨能给个手套就好了,1
环境跟所有的秀玉差不多服务不错上菜速度按规定分内味道也还不错休闲聊天不错的地方逛街累了去这里补充能量吃饱之后可以又继续逛了泰皇炒饭的米好像有点硬了牛排还行吧薯条不算好吃好油好油其他的也都还行吧,1
第一次去那个店二楼高逼格,1
环境挺好的服务态度很满意,1
东西还行吧味道也就那个样子吧,1
感觉一般吧牛排不是很好吃,1
味道不行服务态度差上菜速度慢,1
很好朋友聚餐都很喜欢,1
想吃牛排推荐的牛排真心不好吃那个慢烤的其他的还不错,1
番茄牛腩跟饭那米饭硬的像子弹还有番茄牛腩太酸了,0
味道还行肉酱意粉有点腻人可能最近都不会在想吃了分量还是可以的上菜很快,1
味道不好环境不错只能说环境不错,1
挺好吃的也挺实惠的,1
就这样吧,1
海鲜炒饭最好吃服务也很好主要是干净卫生,1
跟老公一起去的还可以味道还行吧地段蛮好,1
老顾客了应该不知道吃什么这个一直是首选,1
还不错两个人吃很饱环境也不错,1
服务很好,1
一般吧胜在量多吃多了会腻服务员听到是美团感觉态度就一般般了,1
还可以哦味道好,1
东西难吃是关键服务一般般唉,0
不错,1
孩子去吃的感觉还行吧,1
感觉还不错不错性价比比较高,1
不错点了多次,1
很好就是点的茶有点酸服务挺好味道也可以,1
真的不错确实很好大家快来吧好吃好玩,1
吃喝都很一般就是带小孩在哪里休息一下不错,1
环境好吃的马马虎虎,1
意大利面条竟然用热干面的面条代替金桔柚子茶变成话梅柚子茶好无语,1
服务很好吃的很愉快,1
人不多的时候还可以炒饭味道不如从前了尤其是泰皇炒饭,1
还不错最近去的少太忙了有空还会去的,1
三个人吃加了一份煲仔饭奶昔不好喝茶上得慢快吃完了才上其他都可以,1
菜还不错吃的牛排就是黑椒汁太少了,1
就那样吧服务一般菜也一般总而言之非常一般,1
味道越来越差一大半没吃,0
永远忘记不了的两个人,1
聚会首选秀玉品牌美味可口,1
服务较慢但环境不错,1
很不错的西餐厅秀玉算的上是最平价的西餐厅吧虽然平价但是服务和菜品一样是非常不错的环境优雅不闹人非常适合一个下午茶的地方,1
有机会再去的不过优惠没怎么增加啊,1
回头客了喜欢里面环境就是菜单上老是那些好吃的基本都吃过了,1
等台和停车不太满意停车小时真是不够吃饭小时都不一定够还没算等台时间再逛逛超市每次都超时停车还收的特别贵超市和商圈的配套停车竟然收元一小时如果不是停车不满意会去的更多些,1
贵阳召开了你们的话我们就算你是一,0
真的很好吃啦便宜干净味道还很棒吃的团购餐两个人吃很饱很饱有主食小吃甜点还有饮品团购餐真是贴心呢服务态度也是棒棒哒环境很优雅反正我吃西餐不喜欢太吵闹的环境觉得秀玉的整体还是很不错的推荐各位亲,1
分量挺足的两个人吃够了秀玉的环境和服务一直都很好,1
味道还行一直去吃习惯好评吧,1
还行味道一般般环境一般服务还行,1
位置在光谷步行街上下两层就餐区很大有专用电梯非常方便门口迎宾点餐服务都很热情没有因为是团购就区别对待上餐很快牛排炒饭小食都很新鲜味道很赞饮料一壶非常实惠够个人共同畅饮我给好评哦,1
味道还可以价格适中没太多惊喜的感觉,1
味道不错,1
感觉还好就是有点小贵,1
个人一不小心吃了,1
煲仔饭超好吃牛排一搬,1
牛排好吃环境非常棒喜欢适合约会的情侣们,1
秀玉算是大家比较常去的一家店了中西餐都有任君选择大爱蒜香考翅中水果茶等副食价格不贵,1
秀玉的团购套餐很实惠家庭聚餐就买了二份吃的很饱牛扒口感不错炒饭除了卖相略差口感还是很不错滴饮料都是冰饮在这个季节不是太适应建议可以替换些暖饮不得不说饮料口感也是相当不错服务态度很好值得赞一个,1
不错,1
还不错喜欢到秀玉来吃,1
有机会会继续光顾的,1
有机会会继续光顾的,1
想不出来吃什么的时候去就秀玉反正我是超喜欢的便宜服务好吃的味道也不错每次都吃咖喱鸡肉焗饭真是吃不腻泰皇炒饭牛柳条水果沙拉蜂蜜厚多士鸡扒都喜欢,1
也没服务员接待大冷天团购的套餐建议增加热饮,1
一如既往的支持就是感觉牛排有点老黑椒汁有点辣其他还好希望以后优惠能多一点,1
一般总那个到地方去了不错吃什么了就他们家吃排骨饭,1
本来不想评论的一个人简单的事情我叫一个西装衣服的男的帮我把牛扒加热一下什么态度好不情愿的样子然后帮我加热后牛扒还是没有滋滋的声音什么破餐厅牛扒冷的怎么吃还有那服务员那表情那态度以后再也会去秀玉了,0
环境不错份量有些多最好是三个人吃点这个套餐再加一个菜,1
味道一如既往还是很喜欢经常来吃,1
服务不错环境还行菜算是一直保持水平,1
没有想吃的菜系的时候西餐是不错的选择价格实惠味道不错性价比高,1
下午两三点钟去吃的上菜很快两人餐吃得很饱因为是生日这天去的还给送了一份长寿面看到我们在吃蛋糕还很贴心的放了生日歌服务很好黑胡椒牛扒金桔柠檬茶意大利面,1
第一次在这一家秀玉吃感觉很棒环境和味道满分,1
还行就是上菜速度慢等太久,1
味道一直保持的不错时间更及时了,1
服务态度很好位置也很好找上菜速度也很快只是饮料选择都是冰饮这个季节建议可以换成热饮会更加合理黑胡椒牛肉脆豆炒饭,1
去吃饭的不是去看脸色的点个菜一脸不情不愿穿个黑衣服耍酷的,0
味道还行一个人吃的话量算够了但是还是有点少有点小贵,1
很好性价比很高有机会还会去的,1
菜的味道样式挺好的比较适合情侣幽会环境优雅浪漫有逼格性价比非常高那个牛肉的春卷比想象的好吃超越一切春卷牛排也挺好炒饭的米是长粒米牛肉挺多的又点了个沙拉很好的沙拉秒杀必胜客的沙拉比较弱的是服务上了服务员操作不熟练还是流程没理好呢饮料送错了还没解决又送错了牛排建议新员工上任多培训下沙发椅子很舒服另外空调可以调低一点又点小热,1
秀玉还是一如既往的好不过就是女朋友的鸡蛋双面的煎成单面的了而且说好要送一个双面的居然忘记了这个要批评一下,1
一直喜欢来这里,1
挺好的哦回去武汉玩团的下次去光谷玩再团,1
感觉秀玉是武汉市我吃过最物美价廉的餐厅,1
环境不错口味也不错上餐比较速度整体很满意,1
一如即往的可以习惯他家口味,1
去过很多次相当满意煲仔饭真的很好吃,1
味道还是很不错有机会会经常去,1
一直在里面吃饭各类都有相当到位,1
味道服务菜品统统给满分上菜速度一流服务员热情是一家很不错的西餐厅,1
秀玉是真的不错环境还可以也便宜,1
才发现还有巴台费披萨没选好不好吃牛排还可以咖喱饭口味甜的不是很喜欢海鲜饭有点硬,1
好久没来了没以前的秀玉好了菜品份量价格都不如以前,1
喜欢秀玉环境非常不错适合谈事情,1
环境好最主要挺好的服务非常到位菜品质量也不错下次还会再来,1
环境不错约会和朋友聚会的好去处,1
味道很好上菜速度也很快服务员态度也很亲和,1
很不错以前的套餐就是划算呀现在涨到多了,1
我就喜欢那里的环境觉得很舒服,1
味道棒棒哒肉很嫩,1
半年没评价过了牛排很嫩鸡蛋很嫩金桔汁也跟正宗吃的很饱而且上菜速度特别快服务态度也挺好的在上完菜后还会主动给你加水,1
还不错哦已经来吃了很多次了真正的不错,1
牛排没有以前的好吃肉质没有以前的鲜嫩服务还可以上菜速度也快周末去人比较多但是上菜速度可以呢就是结账打发票的时候和他们说了很久就是不给打发票都有三四个人结账我的发票还没有打不知道是不是不想打环境还可以就是口味一般,1
一如既往的好一年没回武汉了秀玉加了计时沙漏给我带来了惊喜服务一级棒环境也很好男票也吃的很开心,1
一直最爱一直支持以后还会继续支持,1
可以,1
还可以,1
东西挺好的挺好吃的挺完善的啊好价钱也很实惠,1
价格优惠上菜速度很快盆友很喜欢下次再去整体还不错评价非得要满个字才能提交好麻烦,1
味道不错服务好环境卫生下次还会光顾,1
环境还是不错的就是味道有待加强感觉水准有所下降,1
每次去光谷都不会忘记秀玉红茶坊的乌冬面超好吃,1
还行一般不错下次有机会再去不知道什么时候去,1
个人比较喜欢吃秀玉选择比较多味道也不错只是个别店的服务员太少完全服务不过来,1
还可以捡破烂途径铝土矿角膜炎在那里图中陌路拖拒绝马伦那里咯拿了咯呢涂抹,1
这个挺划算的就是又点了几个菜两个人吃不完,1
经常和女朋友去很好地方也好找服务挺好的,1
吃了多次也就那样子了反正环境还是不错的以后还会去的,1
服务挺好环境不错去过很多次了这个套餐饮品有点多建议把多余的芒果换一个别的吧水果沙拉最小份或者单独的小份也可以啊,1
环境挺好人也蛮多服务员蛮高沟通,1
不错秀玉不错一直很好要是提供手机充电就更好了,1
点的还是一直钟爱的现磨黑胡椒牛扒不过这次感觉吃起来口感和味道没有以前那么好了点了一杯鸡尾酒自由古巴我发誓我真的只是看名字点的而已哈哈不过也比较可惜喝起来味道有点点像小时候偷喝爷爷的药酒味道哈哈才喝四分之一就有酒精的感觉了相对而言还是蓝色风暴可能更温和一点儿下次换新的尝试玛格丽特或者曼哈顿,1
只能说一般般不知道是我点的少了还是怎么的服务员还摆脸色给我看我是过来消费的不是来看脸色的,0
每次两个人吃饭不知道吃什么的时候就来这里我觉得价钱很实惠而且能吃的很好味道很喜欢每次必点的牛蛙煲仔,1
还是原来的味道不错给力一起跟朋友在这吃,1
一如既往的好就是位置不是很明显,1
和朋友一起去的在武汉学习听说这里很不错来了之后觉得环境很好,1
秀玉还是不错的如果两三次东西都好吃,1
还不错吧就是服务一般般味道也没有以前的好了,1
一直喜欢秀玉价格很实惠环境味道又都会不错,1
还行吧比较安静环境气氛不错,1
还不错每次来秀玉都来这家那天服务还不错,1
越来越不行了啊好牛排涨价了味道却不怎么样,1
去了几次了总得来说还是挺不错的,1
还蛮不错的喜欢还会再来不错可以,1
吃饱了两个人太多了最后都吃不下,1
经常来秀玉吃饭可以挺安静的可以聊天吃饭,1
环境不错服务也还可以点的番茄牛腩简直不要太难吃,1
炒饭不太好吃有点硬面包和茶特别棒,1
扣扣了裤题记垃圾股路他咕噜碳题记突击,1
以前没有来过发现还不错从来以前从来没评价发现还不错这是我评价的第一个觉得很不错很不错很不错以后还会来这是我第一个评价哟服务态度特别好环境特别棒东西很好吃好就是这样我没有其他的了下次还会再来,1
